Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,3262172747,rhup,0,344,G Rory McIlroy G Will Zalatoris G Max Homa G Sungjae Im G Sebastian Munoz G Justin Rose,,Will Zalatoris,G,42.86%,86.5
2,3262704671,boyewsky,0,333,G Will Zalatoris G Shane Lowry G Matt Fitzpatrick G Sam Burns G Sungjae Im G Davis Riley,,Justin Thomas,G,33.33%,49.5
3,3261329441,arob92,0,327,G Justin Thomas G Will Zalatoris G Matt Fitzpatrick G Tommy Fleetwood G Wyndham Clark G Joel Dahmen,,Tommy Fleetwood,G,33.33%,14
4,3260204128,jabella72,0,325,G Justin Thomas G Patrick Cantlay G Joaquin Niemann G Justin Rose G Patrick Rodgers G Mackenzie Hughes,,Matt Fitzpatrick,G,33.33%,100.5
5,3262705240,andcohen2525,0,317.5,G Rory McIlroy G Viktor Hovland G Will Zalatoris G Davis Riley G Yannik Paul G Denny McCarthy,,Joaquin Niemann,G,28.57%,45.5
6,3261229842,belikemike247,0,315.5,G Collin Morikawa G Matt Fitzpatrick G Sam Burns G Max Homa G Mito Pereira G Harold Varner III,,Shane Lowry,G,28.57%,20
7,3262790806,cubyblue,0,308,G Brooks Koepka G Matt Fitzpatrick G Daniel Berger G Sam Burns G Max Homa G Tyrrell Hatton,,Sungjae Im,G,28.57%,18.5
8,3260860763,jakinnamon1221,0,289.5,G Rory McIlroy G Matt Fitzpatrick G Tony Finau G Mito Pereira G Sungjae Im G Davis Riley,,Sebastian Munoz,G,23.81%,64
9,3262552452,concord,0,283.5,G Justin Thomas G Will Zalatoris G Abraham Ancer G Seamus Power G Sebastian Munoz G Harold Varner III,,Justin Rose,G,23.81%,52.5
10,3260780038,gapfaff,0,281.5,G Jordan Spieth G Will Zalatoris G Shane Lowry G Tommy Fleetwood G Davis Riley G Justin Rose,,Davis Riley,G,23.81%,54.5
11,3261717074,hupfdaddy,0,280,G Viktor Hovland G Shane Lowry G Matt Fitzpatrick G Aaron Wise G Sungjae Im G Sebastian Munoz,,Max Homa,G,23.81%,47.5
12,3261717074,Syvretzky,0,271,G Viktor Hovland G Shane Lowry G Matt Fitzpatrick G Aaron Wise G Sungjae Im G Sebastian Munoz,,,,,
13,3261762201,mlewicki,0,266.5,G Shane Lowry G Joaquin Niemann G Billy Horschel G Matt Fitzpatrick G Aaron Wise G Luke List,,Mito Pereira,G,19.05%,21.5
14,3260121214,chicagoputz,0,264.5,G Xander Schauffele G Will Zalatoris G Tony Finau G Corey Conners G Mito Pereira G Justin Rose,,Rory McIlroy,G,19.05%,75
15,3260107345,jimm743,0,261,G Justin Thomas G Shane Lowry G Sam Burns G Tommy Fleetwood G Gary Woodland G Patrick Rodgers,,Sam Burns,G,19.05%,53
16,3259902610,Jph315,0,259,G Justin Thomas G Joaquin Niemann G Tommy Fleetwood G Louis Oosthuizen G Seamus Power G Sebastian Munoz,,Tony Finau,G,14.29%,19.5
17,3259907680,American-Dream,0,249,G Justin Thomas G Rory McIlroy G Corey Conners G Justin Rose G Kevin Na G Taylor Montgomery,,Viktor Hovland,G,14.29%,20
18,3260789166,garciar15,0,244,G Xander Schauffele G Joaquin Niemann G Tony Finau G Max Homa G Tommy Fleetwood G Davis Riley,,Seamus Power,G,9.52%,64.5
19,3262633083,darksidefan,0,242.5,G Cameron Smith G Will Zalatoris G Shane Lowry G Sungjae Im G Keegan Bradley G Taylor Montgomery,,Daniel Berger,G,9.52%,21
20,3259905394,re_wcb,0,228.5,G Will Zalatoris G Joaquin Niemann G Cameron Young G Daniel Berger G Mito Pereira G Lucas Herbert,,Corey Conners,G,9.52%,21.5
21,3261131698,JonBuc1,0,209.5,G Viktor Hovland G Jordan Spieth G Tyrrell Hatton G Tommy Fleetwood G Sungjae Im G Sebastian Munoz,,Taylor Montgomery,G,9.52%,25
22,3261112650,AndyRue5,0,195.5,G Justin Thomas G Joaquin Niemann G Max Homa G Tommy Fleetwood G Russell Henley G Lanto Griffin,,Patrick Rodgers,G,9.52%,56
,,,,,,,Xander Schauffele,G,9.52%,63
,,,,,,,Jordan Spieth,G,9.52%,54
,,,,,,,Tyrrell Hatton,G,9.52%,39
,,,,,,,Harold Varner III,G,9.52%,19
,,,,,,,Aaron Wise,G,9.52%,57
,,,,,,,Louis Oosthuizen,G,4.76%,21.5
,,,,,,,Cameron Young,G,4.76%,38
,,,,,,,Lucas Herbert,G,4.76%,16
,,,,,,,Kevin Na,G,4.76%,25.5
,,,,,,,Gary Woodland,G,4.76%,68.5
,,,,,,,Patrick Cantlay,G,4.76%,64
,,,,,,,Mackenzie Hughes,G,4.76%,57.5
,,,,,,,Russell Henley,G,4.76%,20
,,,,,,,Lanto Griffin,G,4.76%,19
,,,,,,,Collin Morikawa,G,4.76%,74
,,,,,,,Wyndham Clark,G,4.76%,17
,,,,,,,Joel Dahmen,G,4.76%,59.5
,,,,,,,Billy Horschel,G,4.76%,23.5
,,,,,,,Luke List,G,4.76%,20
,,,,,,,Abraham Ancer,G,4.76%,0
,,,,,,,Cameron Smith,G,4.76%,18
,,,,,,,Keegan Bradley,G,4.76%,74.5
,,,,,,,Yannik Paul,G,4.76%,13.5
,,,,,,,Denny McCarthy,G,4.76%,68
,,,,,,,Brooks Koepka,G,4.76%,47